start	end	text
0	2960	John McCain promised a clean campaign.
3180	5420	Then attacked Governor Bush with misleading ads.
5420	9480	McCain says he's the only candidate who can beat Gore on campaign finance.
9600	14940	But news investigations reveal McCain solicits money from lobbyists with interest before his committee
14940	17700	and pressures agencies on behalf of contributors.
18100	21180	He attacks special interests, but the Wall Street Journal reports
21180	23800	McCain's campaign is crawling with lobbyists.
23960	25960	His conservative hometown paper warns
25960	29200	it's time the rest of the nation learns about the McCain we know.
30000	59980	Thanks for watching.
